#label:9
x,y,z
-0.08379961550235748,-0.05267404764890671,9.881172180175781
-0.06703969836235046,-0.07182824611663818,9.850046157836914
-0.06703969836235046,-0.07182824611663818,9.850046157836914
-0.05985686928033829,-0.0885881707072258,9.83328628540039
-0.05985686928033829,-0.05506832152605057,9.850046157836914
-0.03591412305831909,-0.03591412305831909,9.854835510253906
-0.03591412305831909,-0.03591412305831909,9.854835510253906
-0.04549122229218483,-0.10295381397008896,9.857229232788086
-0.08379961550235748,-0.023942748084664345,9.864412307739258
-0.08379961550235748,-0.023942748084664345,9.864412307739258
-0.04309694468975067,-0.06464541703462601,9.859623908996582
-0.04309694468975067,-0.06464541703462601,9.859623908996582
-0.028731297701597214,-0.05506832152605057,9.869200706481934
-0.08619388937950134,-0.03830839693546295,9.866806030273438
-0.04070267081260681,-0.03351984918117523,9.850046157836914
-0.04070267081260681,-0.06464541703462601,9.842864036560059
-0.04549122229218483,-0.08379961550235748,9.87159538269043
-0.07182824611663818,-0.05506832152605057,9.85244083404541
-0.06943397223949432,-0.026337023824453354,9.869200706481934
-0.05506832152605057,-0.05267404764890671,9.859623908996582
-0.026337023824453354,-0.07182824611663818,9.866806030273438
-0.03351984918117523,-0.05746259540319443,9.87398910522461
-0.06943397223949432,-0.04070267081260681,9.87159538269043
-0.06703969836235046,-0.04788549616932869,9.862017631530762
-0.05746259540319443,-0.03591412305831909,9.864412307739258
-0.03591412305831909,-0.05746259540319443,9.850046157836914
-0.06464541703462601,-0.04788549616932869,9.864412307739258
-0.07422251999378204,-0.04070267081260681,9.859623908996582
-0.06943397223949432,-0.04549122229218483,9.862017631530762
-0.06225114315748215,-0.07182824611663818,9.866806030273438
-0.03591412305831909,-0.05985686928033829,9.864412307739258
-0.05506832152605057,-0.04549122229218483,9.85244083404541
-0.06464541703462601,-0.03830839693546295,9.857229232788086
-0.0766167938709259,-0.05985686928033829,9.854835510253906
-0.05746259540319443,-0.05746259540319443,9.859623908996582
-0.04309694468975067,-0.05746259540319443,9.87159538269043
-0.06464541703462601,-0.05985686928033829,9.830892562866211
-0.0766167938709259,-0.04788549616932869,9.869200706481934
-0.04309694468975067,-0.05027977004647255,9.857229232788086
-0.04549122229218483,-0.05267404764890671,9.862017631530762
-0.07182824611663818,-0.03830839693546295,9.854835510253906
-0.0766167938709259,-0.04309694468975067,9.847652435302734
-0.05267404764890671,-0.05267404764890671,9.842864036560059
-0.05506832152605057,-0.04070267081260681,9.857229232788086
-0.05506832152605057,-0.04549122229218483,9.838075637817383
-0.08140534162521362,-0.031125571578741074,9.87159538269043
-0.04788549616932869,-0.05746259540319443,9.864412307739258
-0.04788549616932869,-0.06464541703462601,9.862017631530762
-0.04788549616932869,-0.06464541703462601,9.862017631530762
-0.04788549616932869,-0.06225114315748215,9.87398910522461
-0.04788549616932869,-0.06943397223949432,9.864412307739258
-0.05027977004647255,-0.04309694468975067,9.862017631530762
-0.05027977004647255,-0.04309694468975067,9.862017631530762
-0.05267404764890671,-0.05267404764890671,9.859623908996582
-0.07182824611663818,-0.06464541703462601,9.854835510253906
-0.05985686928033829,-0.05267404764890671,9.866806030273438
-0.05267404764890671,-0.06225114315748215,9.862017631530762
-0.05506832152605057,-0.03351984918117523,9.847652435302734
-0.05985686928033829,-0.05746259540319443,9.847652435302734
-0.05506832152605057,-0.04549122229218483,9.864412307739258
-0.0766167938709259,-0.04070267081260681,9.847652435302734
-0.05506832152605057,-0.06464541703462601,9.842864036560059
-0.07182824611663818,-0.07182824611663818,9.859623908996582
-0.06703969836235046,-0.03591412305831909,9.847652435302734
-0.04070267081260681,-0.07182824611663818,9.864412307739258
-0.05746259540319443,-0.05985686928033829,9.859623908996582
-0.06943397223949432,-0.05985686928033829,9.847652435302734
