# x_rms,y_rms,z_rms,x_mean,y_mean,z_mean,x_std,y_std,z_std,label
1.531629568436727595e-01,4.224311336992747634e-01,8.933605352445610492e-01,-1.498152336290173026e-01,4.199024225815563560e-01,8.930834937137311913e-01,3.184787468230378810e-02,4.615212052110548996e-02,2.224677928430351601e-02,0.000000000000000000e+00
7.746209075061578908e-02,3.480833311545219466e-01,9.342577904780430265e-01,-6.811767223525112824e-02,3.448807693735585489e-01,9.340779514390969984e-01,3.688303448345234270e-02,4.710902614076121347e-02,1.833029471271226465e-02,0.000000000000000000e+00
1.011900763768680822e-01,4.521792705195492035e-01,8.861684240341968222e-01,-9.643105995486646320e-02,4.466253375016606131e-01,8.854110911300095976e-01,3.066728278047052558e-02,7.065338342301377694e-02,3.662888831534211881e-02,0.000000000000000000e+00
8.946396125771906294e-02,3.893708929023457221e-01,9.167259718130099655e-01,-8.791985190705203790e-02,3.889643913047362567e-01,9.167038750307222594e-01,1.654992460903360191e-02,1.778748257921785453e-02,6.364974482694829225e-03,0.000000000000000000e+00
1.801755726488518394e-01,3.923238762270788715e-01,9.020081702306348426e-01,-1.573142101696319017e-01,3.888098470676444873e-01,9.017792865572747951e-01,8.783778377239817581e-02,5.239204788014279607e-02,2.031889512425055777e-02,0.000000000000000000e+00
1.406462133211907606e-01,4.187406096701566938e-01,8.971482288292584872e-01,-1.323852902738078818e-01,4.173665249298826319e-01,8.970365269902166316e-01,4.749202291658599639e-02,3.389516270632449840e-02,1.415675587152696868e-02,0.000000000000000000e+00
1.292100754546711971e-01,3.939727602447531396e-01,9.099946266798109029e-01,-6.717082951560061910e-02,3.882240920350838453e-01,9.095635788371417840e-01,1.103780923063446412e-01,6.705661919903566082e-02,2.800565369883114414e-02,0.000000000000000000e+00
8.505813352056570964e-02,3.720639705068786718e-01,9.243016367899896668e-01,5.882077214393512804e-02,3.697707844551381129e-01,9.241531057575813612e-01,6.144105176828966453e-02,4.124518290388946851e-02,1.656963763245812224e-02,0.000000000000000000e+00
1.017983164536511304e-01,4.357419011848988610e-01,8.942964264263678631e-01,-6.967983579339918909e-02,4.290870898725644977e-01,8.936323797174224870e-01,7.421332573468611415e-02,7.586352056768730368e-02,3.445675898206988774e-02,0.000000000000000000e+00
1.099499057546648867e-01,3.721034471092508622e-01,9.216561413422867943e-01,-1.066174832885541796e-01,3.707836499630025595e-01,9.215442898565612273e-01,2.686436361938546180e-02,3.131230222613207853e-02,1.435843677841292139e-02,0.000000000000000000e+00
1.806236085397211477e-01,3.984823642591645565e-01,8.992146114318405603e-01,-1.743101420124909262e-01,3.983867032615626691e-01,8.991999565700217190e-01,4.733774765972355303e-02,8.730938664147262079e-03,5.133762459185037264e-03,0.000000000000000000e+00
8.713064211394809522e-02,3.939277281900320782e-01,9.150022929850236686e-01,-8.386507013718504100e-02,3.933843889684960349e-01,9.149730447390195254e-01,2.363046351796637204e-02,2.068278397225165738e-02,7.315980375822480480e-03,0.000000000000000000e+00
8.984280357508266091e-02,3.691541972824156082e-01,9.250153778584140341e-01,-3.486931436541371859e-02,3.681948010889159462e-01,9.249919933065656741e-01,8.280012240278897262e-02,2.659717696144126703e-02,6.577354581522011634e-03,0.000000000000000000e+00
1.204598280706045826e-01,3.331153825387747069e-01,9.351596504005325050e-01,-1.172978824717774704e-01,3.316535251995858524e-01,9.351188195322187591e-01,2.741855113671570060e-02,3.117366367050749751e-02,8.738712371715450997e-03,0.000000000000000000e+00
9.907539406791321390e-02,3.758925872368464316e-01,9.213516316535601547e-01,-8.694081536454652259e-02,3.753268030462170723e-01,9.213351937025272553e-01,4.751029713083390615e-02,2.061620854367714889e-02,5.503634781143614506e-03,0.000000000000000000e+00
4.826814933387060802e-02,3.849428004038725204e-01,9.216773981047313713e-01,-4.195649532808878868e-02,3.848442205897039670e-01,9.216737538482314696e-01,2.386350225555539453e-02,8.711226175396913005e-03,2.591841896662545972e-03,0.000000000000000000e+00
6.601151113740232057e-02,3.955919582121485423e-01,9.160510264145957926e-01,-6.433469330474761438e-02,3.954635914694273890e-01,9.160350589983478065e-01,1.478400622387090850e-02,1.007696503041131085e-02,5.408667222865945999e-03,0.000000000000000000e+00
5.796550034265991747e-02,3.444408129197238377e-01,9.370168233096057842e-01,-5.548101727474528261e-02,3.418277931437374018e-01,9.369223181603980599e-01,1.678856611311169145e-02,4.234658710312444452e-02,1.330777585363574801e-02,0.000000000000000000e+00
6.980638406098457760e-02,3.770716081347108561e-01,9.235497122965463657e-01,-6.956694579238412168e-02,3.768753753227807035e-01,9.235371181737160873e-01,5.776790526682579023e-03,1.216343440851038772e-02,4.823115012217131167e-03,0.000000000000000000e+00
8.202142421943160733e-02,3.740243558122974821e-01,9.237847515672749088e-01,-7.928692362715293596e-02,3.735598260651142866e-01,9.237485587215860106e-01,2.100232779303234931e-02,1.863531837682617237e-02,8.177254307199746663e-03,0.000000000000000000e+00
6.132099501576043082e-02,3.719997976930617400e-01,9.262050993633095253e-01,-5.637563729407865654e-02,3.717786124174645157e-01,9.261863423654302929e-01,2.412575282575456226e-02,1.282625559637485570e-02,5.894514597833890902e-03,0.000000000000000000e+00
6.669140837938522526e-02,3.570486817636823185e-01,9.317019345795042318e-01,-6.003617910233496890e-02,3.566245228852877314e-01,9.316749224126014139e-01,2.904136963743775973e-02,1.739858689733825292e-02,7.094635062070797464e-03,0.000000000000000000e+00
4.987573507512196858e-02,3.765717340216543918e-01,9.250438585205787989e-01,-4.455205535887474949e-02,3.759546151060193520e-01,9.250031644673207820e-01,2.242104619734573701e-02,2.154990126567804531e-02,8.676745477611186308e-03,0.000000000000000000e+00
4.983427172148909706e-02,3.638104180427181866e-01,9.301389815966060182e-01,-3.577734000478077075e-02,3.636047271166398809e-01,9.301293806789702190e-01,3.469058345132756266e-02,1.223203559720193248e-02,4.226142842696846771e-03,0.000000000000000000e+00
